Fe,Mn,Zn,Cu,b2_reflectance,b3_reflectance,b4_reflectance,b5_reflectance,b6_reflectance,b7_reflectance,ci_mean_kh,FlowAcc_kh,gndvi_mean_kh,ndvi_mean_kh,PlanCur_kh,ProflCur_kh,satind_mean_kh,sgsi_mean_kh,slope_kh,spi_kh,Twi_kh,aoi_dem_clip_khavr,Sen_B02_30m_aoi,Sen_B03_Mean_30m_aoi,Sen_B04_Mean_30m_aoi,Sen_B05_Mean_30m_aoi,Sen_B06_Mean_30m_aoi,Sen_B07_Mean_30m_aoi,Sen_B08_Mean_30m_aoi,Sen_B08A_Mean_30m_aoi,Sen_B11_Mean_30m_aoi,Sen_B12_Mean_30m_aoi,ClayInd_Mean_Sentinel_khavr,GNDVI_Mean_Sentinel_khavr,MSAVI2_Mean_Sentinel_khavr,NDVI_Mean_Sentinel_khavr,Saturation_Mean_Sentinel_khavr,SGSI_Mean_Sentinel_khavr,Clay_khavr,pH_khavr,Sand_khavr,srad_khavr,bio_15_khavr,bio_12_khavr,bio_1_khavr
2.10000,4.12000,0.44000,1.24000,0.12211,0.17557,0.23758,0.32591,0.33353,0.27721,0.05556,1.00000,0.16603,0.09144,0.00000,0.44444,0.15087,0.05432,6.66667,4.08611,4.10258,1263.00000,1597.00000,1862.00000,2359.00000,2628.00000,2819.00000,3089.00000,3615.00000,3300.00000,3420.00000,2854.00000,0.09021,0.28146,-0.08936,0.16744,0.19804,0.08808,25.78830,7.74923,43.23190,210902.00000,80.50000,293.00000,12.31250
3.50000,21.06000,0.68000,1.94000,0.05847,0.09615,0.10594,0.33917,0.20972,0.13913,0.09453,1.00000,0.29028,0.27542,0.00000,0.11111,0.08387,0.01125,1.31762,5.45640,2.73229,1255.00000,510.00000,931.00000,917.00000,1572.00000,3193.00000,3649.00000,3710.00000,3824.00000,2322.00000,1509.00000,0.21350,0.60675,-0.03035,0.61107,0.28411,-0.00673,30.56310,7.88371,33.72400,210863.00000,80.14080,291.00000,12.30000
2.08000,8.38000,0.46000,1.68000,0.13138,0.19771,0.26412,0.32148,0.34709,0.32093,0.02449,1.00000,0.13447,0.05815,0.00000,0.11111,0.16652,0.05556,1.66667,4.28086,3.90782,1247.00000,1537.00000,2171.00000,2911.00000,3234.00000,3276.00000,3376.00000,3625.00000,3473.00000,3782.00000,3511.00000,0.03789,0.23158,-0.10466,0.08873,0.30947,0.11205,24.73770,7.74674,38.85450,210340.00000,80.43010,293.00000,12.35830
1.66000,4.14000,0.34000,1.32000,0.12665,0.18902,0.25881,0.34046,0.34643,0.27938,0.06317,0.00000,0.16057,0.08005,0.00000,-0.11111,0.16673,0.05894,1.66667,4.00412,2.79828,1251.00000,1321.00000,1929.00000,2734.00000,3064.00000,3225.00000,3362.00000,3560.00000,3576.00000,3681.00000,2907.00000,0.11350,0.29480,-0.09644,0.12986,0.34678,0.13379,31.49040,7.92615,31.64720,210634.00000,80.43010,293.00000,12.29170
2.14000,10.26000,0.40000,1.52000,0.12623,0.19130,0.25290,0.35226,0.33697,0.27383,0.06241,2.00000,0.17020,0.09871,0.00000,0.22222,0.16227,0.05245,3.33333,5.40460,3.59502,1242.00000,1373.00000,1990.00000,2682.00000,3000.00000,3296.00000,3428.00000,3914.00000,3577.00000,3623.00000,2963.00000,0.09959,0.28523,-0.09375,0.14326,0.32297,0.11444,27.64950,7.79686,36.65450,210254.00000,80.43010,293.00000,12.29170
2.14000,5.90000,0.30000,1.32000,0.07753,0.11969,0.14356,0.33306,0.24723,0.18176,0.07908,0.00000,0.25001,0.21602,0.28889,-0.37778,0.10637,0.02531,6.26387,3.66825,3.13415,1267.00000,522.00000,882.00000,933.00000,1513.00000,3137.00000,3675.00000,3844.00000,3840.00000,2320.00000,1469.00000,0.22645,0.62397,-0.03101,0.60678,0.28407,0.01635,28.62250,7.93664,38.46460,210969.00000,80.50000,293.00000,12.25830
2.84000,18.22000,0.54000,1.50000,0.08141,0.12577,0.15398,0.33545,0.25249,0.18594,0.07950,0.00000,0.24326,0.20390,0.00000,0.00000,0.11403,0.02927,0.00000,3.98968,2.81272,1258.00000,1023.00000,1472.00000,1871.00000,2238.00000,3259.00000,3637.00000,3266.00000,3837.00000,2849.00000,2201.00000,0.12812,0.44362,-0.06169,0.34286,0.29342,0.09154,29.00310,7.80680,33.66680,210842.00000,80.50000,293.00000,12.29580
1.40000,6.42000,0.28000,1.02000,0.12739,0.19259,0.26789,0.35151,0.36139,0.31007,0.04738,1.00000,0.16654,0.08082,0.00000,0.00000,0.17586,0.06309,0.58926,5.69206,2.49663,1254.00000,1417.00000,2017.00000,2872.00000,3248.00000,3341.00000,3520.00000,3742.00000,3726.00000,3856.00000,3255.00000,0.08108,0.29277,-0.09701,0.12626,0.33673,0.13426,29.15370,7.94977,34.71150,210571.00000,80.43010,293.00000,12.27500
1.70000,9.90000,0.30000,0.84000,0.10905,0.16476,0.22474,0.32676,0.31697,0.25078,0.06704,0.00000,0.17899,0.10499,0.06667,0.17778,0.15742,0.05455,3.58430,3.48414,3.31826,1279.00000,1267.00000,1829.00000,2627.00000,3021.00000,3214.00000,3443.00000,3717.00000,3721.00000,3440.00000,2602.00000,0.15333,0.38310,-0.07284,0.26411,0.30614,0.10196,20.71390,7.65545,46.76580,210817.00000,80.16640,295.00000,12.19580
2.42000,4.68000,1.88000,0.98000,0.09766,0.14716,0.18563,0.35030,0.27515,0.21720,0.07013,2.00000,0.22356,0.17760,0.00000,0.00000,0.12042,0.03271,0.00000,2.75851,6.24111,1276.00000,1200.00000,1687.00000,2137.00000,2535.00000,3038.00000,3330.00000,3339.00000,3443.00000,2922.00000,2296.00000,0.14499,0.40334,-0.06771,0.35092,0.26786,0.01631,17.82010,7.62032,51.66540,210817.00000,80.16640,295.00000,12.19580
3.94000,6.18000,0.30000,0.74000,0.11735,0.17232,0.22438,0.28144,0.30171,0.26173,0.04154,0.00000,0.12768,0.06288,0.63063,-0.70270,0.14427,0.04673,11.21140,3.65880,3.14360,1283.00000,1355.00000,1870.00000,2461.00000,2720.00000,2816.00000,2896.00000,3010.00000,2978.00000,3216.00000,2809.00000,0.08294,0.21872,-0.10295,0.09723,0.27474,0.09415,14.47660,7.74915,54.39640,210679.00000,80.42910,294.00000,12.15000
2.66000,9.80000,0.58000,1.60000,0.09983,0.15189,0.19526,0.29382,0.28092,0.22039,0.06738,1.00000,0.16737,0.11055,-0.05556,-0.05556,0.13706,0.04135,4.85913,5.37854,2.81015,1263.00000,1254.00000,1748.00000,2188.00000,2438.00000,2681.00000,2848.00000,2908.00000,2947.00000,2996.00000,2489.00000,0.09248,0.25572,-0.09277,0.14852,0.27085,0.08457,23.35310,7.56587,41.15530,211047.00000,80.53130,291.00000,12.33330
2.64000,6.52000,0.86000,1.22000,0.12478,0.18855,0.24872,0.34904,0.35902,0.27974,0.07514,6.00000,0.16958,0.09960,0.00000,0.22222,0.15909,0.05139,2.63523,6.64652,4.04770,1265.00000,1523.00000,2181.00000,2920.00000,3303.00000,3579.00000,3773.00000,4068.00000,3986.00000,4015.00000,3089.00000,0.12702,0.28970,-0.09204,0.15327,0.31247,0.11017,26.86620,7.68446,37.37900,211047.00000,80.53130,291.00000,12.33330
3.10000,18.08000,0.46000,1.82000,0.13162,0.20656,0.28252,0.38693,0.39265,0.30405,0.07926,0.00000,0.17917,0.09619,0.00000,-0.11111,0.18397,0.06164,1.66667,4.28025,2.52215,1267.00000,1731.00000,2528.00000,3520.00000,3960.00000,4159.00000,4329.00000,4361.00000,4522.00000,4444.00000,3400.00000,0.12906,0.28080,-0.09749,0.12377,0.33944,0.12650,24.00170,7.69193,38.69960,211047.00000,80.53130,291.00000,12.33330
1.90000,7.56000,0.46000,1.40000,0.10698,0.16784,0.22501,0.38179,0.32731,0.24602,0.08584,6.00000,0.22519,0.15897,-0.13889,0.08333,0.15507,0.04929,1.76777,6.93890,3.75532,1255.00000,1224.00000,1838.00000,2570.00000,2995.00000,3563.00000,3957.00000,4234.00000,4222.00000,3720.00000,2762.00000,0.15236,0.39237,-0.07788,0.24513,0.35510,0.12872,28.87920,7.74207,36.95450,211006.00000,80.53130,291.00000,12.33330
2.26000,11.40000,0.50000,1.42000,0.08281,0.12654,0.16025,0.32385,0.25799,0.19531,0.07360,2.00000,0.23193,0.18500,0.00000,0.11111,0.12032,0.03472,1.66667,2.62667,6.37295,1260.00000,587.00000,1024.00000,1142.00000,1859.00000,3173.00000,3597.00000,3434.00000,3786.00000,2589.00000,1789.00000,0.18364,0.57265,-0.03857,0.53700,0.31699,0.03466,30.79240,7.79469,38.82970,210902.00000,80.50000,293.00000,12.31250
3.26000,9.28000,0.38000,1.34000,0.11507,0.17425,0.23546,0.33892,0.34054,0.25705,0.08118,138.00000,0.17691,0.10438,0.00000,0.00000,0.15785,0.05343,1.17851,10.05840,6.61297,1259.00000,1358.00000,1983.00000,2738.00000,3189.00000,3430.00000,3610.00000,3692.00000,3915.00000,3868.00000,2877.00000,0.14398,0.32473,-0.08773,0.18066,0.33287,0.11927,30.32580,7.67114,29.83040,210968.00000,80.14640,292.00000,12.31670
4.22000,4.44000,0.42000,0.90000,0.10016,0.15475,0.19977,0.31626,0.30457,0.23335,0.07588,32.00000,0.18474,0.12686,0.00000,0.00000,0.14185,0.04250,0.00000,7.94790,5.84751,1274.00000,1235.00000,1776.00000,2352.00000,2708.00000,2980.00000,3168.00000,3266.00000,3380.00000,3403.00000,2583.00000,0.13459,0.30988,-0.08675,0.18069,0.30942,0.10533,24.35320,7.76316,41.48690,210838.00000,79.74950,295.00000,12.30830
2.50000,10.26000,1.16000,1.30000,0.06172,0.10165,0.11141,0.38845,0.25012,0.16380,0.10761,0.00000,0.31945,0.30525,0.00000,-0.11111,0.08594,0.01075,1.66667,4.45608,2.34631,1236.00000,385.00000,767.00000,562.00000,1312.00000,4128.00000,4931.00000,4159.00000,5001.00000,2473.00000,1382.00000,0.19613,0.53986,-0.04297,0.49403,0.24566,0.04522,22.94710,7.69196,40.64800,210948.00000,79.69340,297.00000,11.91250
1.96000,9.76000,0.78000,1.32000,0.09840,0.15591,0.20535,0.32740,0.30878,0.24019,0.07161,2.00000,0.19292,0.13002,0.00000,0.00000,0.15144,0.04643,0.00000,1.99981,6.99981,1223.00000,1253.00000,1871.00000,2578.00000,2929.00000,3221.00000,3392.00000,3416.00000,3598.00000,3486.00000,2740.00000,0.13487,0.34110,-0.08521,0.19072,0.34649,0.12585,24.19450,7.73870,40.80520,210867.00000,79.80170,295.00000,12.06250
1.86000,5.54000,0.48000,1.46000,0.12016,0.18423,0.25295,0.33397,0.34797,0.29217,0.05308,0.00000,0.16134,0.08099,0.02778,0.02778,0.17071,0.05899,2.42956,3.61947,3.18293,1207.00000,1356.00000,1940.00000,2730.00000,3040.00000,3170.00000,3308.00000,3339.00000,3498.00000,3753.00000,3034.00000,0.12436,0.29375,-0.09513,0.13667,0.33652,0.12717,23.75330,7.70551,42.65220,210578.00000,79.81840,294.00000,12.20830
1.92000,3.04000,0.50000,1.42000,0.10712,0.16402,0.22702,0.30443,0.31290,0.27102,0.04375,0.00000,0.16211,0.08362,0.00000,0.00000,0.16313,0.05734,1.17851,4.28716,2.51524,1205.00000,1137.00000,1682.00000,2360.00000,2709.00000,2890.00000,3026.00000,3114.00000,3156.00000,3236.00000,2776.00000,0.05655,0.29686,-0.09465,0.13893,0.34473,0.12834,23.59140,7.69951,42.50750,210290.00000,79.81840,294.00000,12.20830
2.32000,16.44000,0.86000,1.46000,0.10880,0.16762,0.23436,0.32124,0.31615,0.26813,0.04792,1.00000,0.17207,0.09050,0.00000,0.11111,0.16836,0.05985,1.66667,5.19893,2.98976,1215.00000,1350.00000,1944.00000,2772.00000,3092.00000,3281.00000,3391.00000,3446.00000,3497.00000,3528.00000,3003.00000,0.07306,0.27688,-0.10034,0.10928,0.34314,0.13438,24.09740,7.71059,39.09640,210708.00000,79.80170,295.00000,12.16250
2.58000,15.20000,0.60000,1.66000,0.10385,0.16311,0.21712,0.32137,0.32564,0.25609,0.07130,0.00000,0.17929,0.11190,0.00000,-0.11111,0.15616,0.04950,1.66667,4.57175,2.23064,1244.00000,1250.00000,1766.00000,2394.00000,2656.00000,3122.00000,3320.00000,3294.00000,3529.00000,3357.00000,2583.00000,0.10157,0.32390,-0.08358,0.19874,0.30558,0.10280,22.32720,7.71639,39.29680,210670.00000,80.04630,298.00000,11.90000
2.30000,10.68000,0.66000,0.78000,0.09211,0.14656,0.19809,0.30223,0.28015,0.24710,0.03617,1.00000,0.18374,0.11632,0.00000,-0.11111,0.15331,0.04947,1.66667,5.26490,2.92379,1233.00000,1238.00000,1767.00000,2306.00000,2592.00000,3035.00000,3155.00000,3151.00000,3241.00000,3130.00000,2772.00000,0.07348,0.34364,-0.08586,0.18900,0.34449,0.12924,23.44230,7.73930,38.01180,211081.00000,79.54020,295.00000,11.99170
1.24000,3.04000,0.42000,0.80000,0.11064,0.17172,0.23989,0.32896,0.33009,0.27176,0.05854,0.00000,0.17433,0.09178,0.00000,0.11111,0.17187,0.06067,1.17851,4.88502,1.91738,1221.00000,1317.00000,1905.00000,2692.00000,2984.00000,3165.00000,3231.00000,3032.00000,3390.00000,3524.00000,2903.00000,0.12028,0.29167,-0.09521,0.13492,0.33858,0.12686,24.15800,7.70270,39.72110,210781.00000,79.81840,294.00000,12.10830
1.94000,9.92000,0.74000,1.34000,0.07112,0.11185,0.13627,0.32712,0.24369,0.17098,0.08918,3.00000,0.25654,0.22108,0.00000,-0.11111,0.10704,0.02652,1.66667,6.29593,3.27905,1222.00000,511.00000,924.00000,993.00000,1809.00000,3061.00000,3480.00000,3603.00000,3729.00000,2608.00000,1691.00000,0.11847,0.30715,-0.09001,0.16297,0.32853,0.11760,23.44900,7.72022,40.16600,210781.00000,79.80170,295.00000,12.01250
1.80000,8.54000,0.98000,1.12000,0.05457,0.09134,0.10055,0.34260,0.20491,0.13487,0.09501,0.00000,0.30020,0.28598,0.13889,-0.08333,0.08270,0.01075,1.76777,3.85874,2.94366,1242.00000,597.00000,1026.00000,1059.00000,1668.00000,3218.00000,3689.00000,3680.00000,3874.00000,2403.00000,1584.00000,0.19019,0.58674,-0.03564,0.55714,0.28778,0.03332,23.12430,7.76326,37.83710,211081.00000,79.54020,295.00000,11.99170
1.56000,8.12000,1.80000,0.94000,0.07431,0.11405,0.14447,0.31301,0.24374,0.17837,0.07963,0.00000,0.24030,0.19659,0.15556,-0.17778,0.11293,0.03244,3.17324,4.18354,2.61885,1236.00000,904.00000,1368.00000,1773.00000,2114.00000,3021.00000,3366.00000,3694.00000,3586.00000,2822.00000,1953.00000,0.18581,0.50381,-0.05070,0.42261,0.32794,0.08088,23.75270,7.76429,39.42310,211081.00000,79.54020,295.00000,11.99170
1.34000,2.86000,0.48000,1.14000,0.08949,0.13814,0.18330,0.29393,0.25865,0.21063,0.05554,1.00000,0.18710,0.12619,0.00000,0.33333,0.13924,0.04454,4.24918,5.08698,3.10171,1233.00000,945.00000,1430.00000,1775.00000,2256.00000,2991.00000,3289.00000,3217.00000,3383.00000,2717.00000,2203.00000,0.12270,0.39209,-0.07064,0.29540,0.30084,0.08009,25.27270,7.83859,37.61310,210855.00000,79.80170,295.00000,12.08750
1.76000,7.48000,0.36000,1.26000,0.08575,0.13349,0.18805,0.29902,0.29313,0.22235,0.07757,324.00000,0.19740,0.12419,0.00000,0.22222,0.15109,0.05389,3.33333,9.01005,9.36000,1236.00000,979.00000,1474.00000,2051.00000,2450.00000,2887.00000,3124.00000,3236.00000,3342.00000,3177.00000,2409.00000,0.15514,0.42908,-0.07113,0.28611,0.36590,0.12596,24.71000,7.77013,35.90020,211042.00000,79.71380,296.00000,11.98750
2.74000,1.64000,1.56000,0.82000,0.07739,0.11963,0.14562,0.30952,0.23615,0.18211,0.06605,1.00000,0.22903,0.19174,0.00000,-0.11111,0.10942,0.02752,2.12459,5.07570,3.11299,1232.00000,1314.00000,1818.00000,2363.00000,2607.00000,2902.00000,3020.00000,2882.00000,3152.00000,3206.00000,2814.00000,0.10473,0.34973,-0.07650,0.24117,0.26300,0.08941,24.34050,7.91686,38.92530,210787.00000,79.80170,295.00000,12.08750
1.60000,4.58000,1.16000,1.22000,0.05504,0.08908,0.09868,0.32599,0.22188,0.13897,0.10899,0.00000,0.29051,0.27551,0.00000,-0.11111,0.07876,0.01137,1.66667,3.58044,3.22195,1227.00000,882.00000,1296.00000,1694.00000,2077.00000,2792.00000,3023.00000,3078.00000,3306.00000,2917.00000,2078.00000,0.19537,0.53589,-0.04248,0.49368,0.31430,0.04433,24.91480,7.90851,39.64500,210787.00000,79.80170,295.00000,12.08750
